Sat Jan 24 20:27:29 2015 us=505331 Current Parameter Settings:
Sat Jan 24 20:27:29 2015 us=519177   config = '/etc/openvpn/server/192.168.13.0_psk/192.168.13.0_psk_server.conf'
Sat Jan 24 20:27:29 2015 us=519748   mode = 0
Sat Jan 24 20:27:29 2015 us=520311   show_ciphers = DISABLED
Sat Jan 24 20:27:29 2015 us=520846   show_digests = DISABLED
Sat Jan 24 20:27:29 2015 us=521800   show_engines = DISABLED
Sat Jan 24 20:27:29 2015 us=522516   genkey = DISABLED
Sat Jan 24 20:27:29 2015 us=523288   key_pass_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=524014   show_tls_ciphers = DISABLED
Sat Jan 24 20:27:29 2015 us=524564 Connection profiles [default]:
Sat Jan 24 20:27:29 2015 us=525117   proto = udp
Sat Jan 24 20:27:29 2015 us=525704   local = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=526275   local_port = 10006
Sat Jan 24 20:27:29 2015 us=526831   remote = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=527395   remote_port = 10006
Sat Jan 24 20:27:29 2015 us=527959   remote_float = DISABLED
Sat Jan 24 20:27:29 2015 us=528507   bind_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=529057   bind_local = ENABLED
Sat Jan 24 20:27:29 2015 us=529635   connect_retry_seconds = 5
Sat Jan 24 20:27:29 2015 us=530185   connect_timeout = 10
Sat Jan 24 20:27:29 2015 us=530739   connect_retry_max = 0
Sat Jan 24 20:27:29 2015 us=531496   socks_proxy_server = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=532054   socks_proxy_port = 0
Sat Jan 24 20:27:29 2015 us=532616   socks_proxy_retry = DISABLED
Sat Jan 24 20:27:29 2015 us=533285   tun_mtu = 1500
Sat Jan 24 20:27:29 2015 us=533848   tun_mtu_defined = ENABLED
Sat Jan 24 20:27:29 2015 us=534584   link_mtu = 1500
Sat Jan 24 20:27:29 2015 us=535149   link_mtu_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=535694   tun_mtu_extra = 0
Sat Jan 24 20:27:29 2015 us=536259   tun_mtu_extra_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=536807   mtu_discover_type = -1
Sat Jan 24 20:27:29 2015 us=537363   fragment = 0
Sat Jan 24 20:27:29 2015 us=537924   mssfix = 1450
Sat Jan 24 20:27:29 2015 us=538660   explicit_exit_notification = 0
Sat Jan 24 20:27:29 2015 us=539391 Connection profiles END
Sat Jan 24 20:27:29 2015 us=539945   remote_random = DISABLED
Sat Jan 24 20:27:29 2015 us=540492   ipchange = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=541092   dev = 'tun0'
Sat Jan 24 20:27:29 2015 us=541633   dev_type = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=542170   dev_node = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=542720   lladdr = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=543342   topology = 1
Sat Jan 24 20:27:29 2015 us=543888   tun_ipv6 = DISABLED
Sat Jan 24 20:27:29 2015 us=544450   ifconfig_local = '192.168.13.1'
Sat Jan 24 20:27:29 2015 us=545328   ifconfig_remote_netmask = '192.168.13.2'
Sat Jan 24 20:27:29 2015 us=545879   ifconfig_noexec = DISABLED
Sat Jan 24 20:27:29 2015 us=546416   ifconfig_nowarn = DISABLED
Sat Jan 24 20:27:29 2015 us=546996   ifconfig_ipv6_local = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=547556   ifconfig_ipv6_netbits = 0
Sat Jan 24 20:27:29 2015 us=548112   ifconfig_ipv6_remote = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=548718   shaper = 0
Sat Jan 24 20:27:29 2015 us=549254   mtu_test = 0
Sat Jan 24 20:27:29 2015 us=549808   mlock = DISABLED
Sat Jan 24 20:27:29 2015 us=550362   keepalive_ping = 10
Sat Jan 24 20:27:29 2015 us=550934   keepalive_timeout = 120
Sat Jan 24 20:27:29 2015 us=551491   inactivity_timeout = 0
Sat Jan 24 20:27:29 2015 us=552047   ping_send_timeout = 10
Sat Jan 24 20:27:29 2015 us=552624   ping_rec_timeout = 120
Sat Jan 24 20:27:29 2015 us=553241   ping_rec_timeout_action = 2
Sat Jan 24 20:27:29 2015 us=553970   ping_timer_remote = ENABLED
Sat Jan 24 20:27:29 2015 us=554538   remap_sigusr1 = 0
Sat Jan 24 20:27:29 2015 us=555074   persist_tun = ENABLED
Sat Jan 24 20:27:29 2015 us=555640   persist_local_ip = DISABLED
Sat Jan 24 20:27:29 2015 us=556177   persist_remote_ip = DISABLED
Sat Jan 24 20:27:29 2015 us=557000   persist_key = ENABLED
Sat Jan 24 20:27:29 2015 us=557532   passtos = DISABLED
Sat Jan 24 20:27:29 2015 us=558119   resolve_retry_seconds = 1000000000
Sat Jan 24 20:27:29 2015 us=558677   username = 'cyberus_openvpn'
Sat Jan 24 20:27:29 2015 us=559303   groupname = 'cyberus_openvpn'
Sat Jan 24 20:27:29 2015 us=559873   chroot_dir = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=560413   cd_dir = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=560978   writepid = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=561527   up_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=562086   down_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=562640   down_pre = DISABLED
Sat Jan 24 20:27:29 2015 us=563236   up_restart = DISABLED
Sat Jan 24 20:27:29 2015 us=563781   up_delay = DISABLED
Sat Jan 24 20:27:29 2015 us=564368   daemon = ENABLED
Sat Jan 24 20:27:29 2015 us=564909   inetd = 0
Sat Jan 24 20:27:29 2015 us=565454   log = ENABLED
Sat Jan 24 20:27:29 2015 us=566006   suppress_timestamps = DISABLED
Sat Jan 24 20:27:29 2015 us=566571   nice = 0
Sat Jan 24 20:27:29 2015 us=567127   verbosity = 4
Sat Jan 24 20:27:29 2015 us=567686   mute = 0
Sat Jan 24 20:27:29 2015 us=568223   gremlin = 0
Sat Jan 24 20:27:29 2015 us=568778   status_file = '/var/log/openvpn/server-log/192.168.13.0_psk/openvpn-status.log'
Sat Jan 24 20:27:29 2015 us=569325   status_file_version = 1
Sat Jan 24 20:27:29 2015 us=569898   status_file_update_freq = 60
Sat Jan 24 20:27:29 2015 us=570420   occ = ENABLED
